company,model_name,year,age,kms_driven,fuel_type,transmission,owner,Price,name,source,price_lakh
Maruti Suzuki,Ritz,2010,16,8000,Petrol,Automatic,second,175750,Maruti Suzuki Ritz,kaggle_market,1.76
Maruti Suzuki,Wagon-R,2023,3,30000,Petrol,Manual,first,641250,Maruti Suzuki Wagon-R,kaggle_market,6.41
Renault,Kwid,2017,9,54000,Petrol,Automatic,second,346750,Renault Kwid,kaggle_market,3.47
Maruti Suzuki,Omni,1998,28,80000,Petrol,Manual,second,71250,Maruti Suzuki Omni,kaggle_market,0.71
Chevrolet,Cruze,2011,15,100000,Diesel,Automatic,second,280250,Chevrolet Cruze,kaggle_market,2.8
Mahindra,Xuv500,2017,9,48000,Diesel,Automatic,first,1139999,Mahindra Xuv500,kaggle_market,11.4
Hyundai,Verna,2013,13,150000,Diesel,Automatic,second,389500,Hyundai Verna,kaggle_market,3.9
Hyundai,Creta,2016,10,63000,Petrol,Manual,second,617500,Hyundai Creta,kaggle_market,6.18
Toyota,Fortuner,2014,12,333000,Diesel,Automatic,second,1372750,Toyota Fortuner,kaggle_market,13.73
Honda,City,2018,8,62000,Petrol,Manual,first,660250,Honda City,kaggle_market,6.6
Honda,Amaze,2021,5,56001,Diesel,Automatic,first,1068750,Honda Amaze,kaggle_market,10.69
Toyota,Innova Crysta,2017,9,25000,Diesel,Manual,first,1486750,Toyota Innova Crysta,kaggle_market,14.87
Honda,Jazz,2015,11,68001,Petrol,Manual,second,421800,Honda Jazz,kaggle_market,4.22
Renault,Scala,2013,13,72000,Diesel,Manual,first,327750,Renault Scala,kaggle_market,3.28
Bmw,3 Series Gt,2019,7,50000,Diesel,Automatic,second,2541250,Bmw 3 Series Gt,kaggle_market,25.41
Honda,City,2016,10,95000,Petrol,Manual,second,508250,Honda City,kaggle_market,5.08
Maruti Suzuki,S-Presso,2021,5,39000,Petrol,Automatic,first,441750,Maruti Suzuki S-Presso,kaggle_market,4.42
Mahindra,Xuv500,2013,13,60000,Diesel,Manual,second,660250,Mahindra Xuv500,kaggle_market,6.6
Hyundai,Tucson,2017,9,72315,Diesel,Automatic,second,983250,Hyundai Tucson,kaggle_market,9.83
Hyundai,Verna,2014,12,82000,Petrol,Automatic,second,370500,Hyundai Verna,kaggle_market,3.7
Maruti Suzuki,Alto,2019,7,85000,Petrol,Automatic,second,266000,Maruti Suzuki Alto,kaggle_market,2.66
Hyundai,Santa Fe,2016,10,64000,Diesel,Automatic,first,1182750,Hyundai Santa Fe,kaggle_market,11.83
Hyundai,Xcent,2016,10,68500,Petrol,Manual,second,418000,Hyundai Xcent,kaggle_market,4.18
Maruti Suzuki,Dzire,2022,4,44000,Petrol,Automatic,first,741000,Maruti Suzuki Dzire,kaggle_market,7.41
Maruti Suzuki,Swift,2019,7,59000,Petrol,Manual,first,513000,Maruti Suzuki Swift,kaggle_market,5.13
Mg,Astor,2022,4,32000,Petrol,Automatic,first,1211250,Mg Astor,kaggle_market,12.11
Audi,Q7,2014,12,45000,Diesel,Automatic,second,1140000,Audi Q7,kaggle_market,11.4
Volkswagen,Ventotest,2016,10,130000,Petrol,Automatic,second,498750,Volkswagen Ventotest,kaggle_market,4.99
Toyota,Innova Crysta,2017,9,112000,Diesel,Automatic,first,1473555,Toyota Innova Crysta,kaggle_market,14.74
Mini,Cooper 5 Door,2014,12,32000,Diesel,Automatic,second,1805000,Mini Cooper 5 Door,kaggle_market,18.05
Renault,Kwid,2017,9,78537,Petrol,Automatic,first,356250,Renault Kwid,kaggle_market,3.56
Volkswagen,Ventotest,2018,8,70673,Diesel,Automatic,first,736250,Volkswagen Ventotest,kaggle_market,7.36
Maruti Suzuki,Baleno,2018,8,39848,Petrol,Manual,first,455934,Maruti Suzuki Baleno,kaggle_market,4.56
Audi,Q3,2016,10,77000,Diesel,Automatic,first,1425000,Audi Q3,kaggle_market,14.25
Maruti Suzuki,Alto,2008,18,111400,Petrol,Manual,second,142500,Maruti Suzuki Alto,kaggle_market,1.42
Toyota,Fortuner,2017,9,30000,Diesel,Automatic,second,3320250,Toyota Fortuner,kaggle_market,33.2
Skoda,Rapid,2015,11,82000,Diesel,Automatic,second,308750,Skoda Rapid,kaggle_market,3.09
Maruti Suzuki,Swift-Dzire,2013,13,89000,Diesel,Manual,second,342950,Maruti Suzuki Swift-Dzire,kaggle_market,3.43
Toyota,Fortuner,2015,11,195000,Diesel,Automatic,first,1472500,Toyota Fortuner,kaggle_market,14.72
Tata,Hexa,2017,9,65110,Diesel,Manual,first,660250,Tata Hexa,kaggle_market,6.6
Hyundai,Creta Facelift,2022,4,25000,Petrol,Manual,first,1306250,Hyundai Creta Facelift,kaggle_market,13.06
Bmw,7 Series,2014,12,115000,Diesel,Automatic,first,1425000,Bmw 7 Series,kaggle_market,14.25
Honda,Jazz,2015,11,64000,Petrol,Manual,first,546249,Honda Jazz,kaggle_market,5.46
Volkswagen,Polo,2013,13,61000,Petrol,Automatic,first,394250,Volkswagen Polo,kaggle_market,3.94
Hyundai,Grand I10,2014,12,54000,Petrol,Automatic,second,455050,Hyundai Grand I10,kaggle_market,4.55
Toyota,Innova Crysta,2022,4,25000,Diesel,Automatic,first,2470000,Toyota Innova Crysta,kaggle_market,24.7
Maruti Suzuki,Celerio,2015,11,103000,Petrol,Automatic,second,342000,Maruti Suzuki Celerio,kaggle_market,3.42
Mahindra,Thar,2022,4,14000,Petrol,Automatic,first,1472500,Mahindra Thar,kaggle_market,14.72
Tata,Bolt,2015,11,56000,Petrol,Manual,first,223250,Tata Bolt,kaggle_market,2.23
